Team,Abbreviation,AvAge,GP,GF,GA,W,L,OL,GA/G,GF/G,Goal Diff,PTS,EWP,PW,PL,PW Season,PL Season,Ahead/Behind,PK%,PTS%,PP,PPA,PPO,PPOA,PP%,Rank,SV%,S%,SH,SHA,SA,S,SRS,SOS
Anaheim Ducks,ANA,28.4,27,61,84,8,13,6,2.26,3.11,-0.8500000000000001,22,0.33,9.0,18.0,27.0,55.0,-1.0,77.92,0.407,8,17,64,77,12.5,25,0.894,8.2,1,4,792,743,-0.71,0.18
Arizona Coyotes,ARI,28.5,26,67,75,12,10,4,2.58,2.88,-0.2999999999999998,28,0.44,11.0,15.0,36.0,46.0,1.0,83.33,0.538,18,15,87,90,20.69,19,0.908,10.1,2,2,819,664,-0.26,0.05
Boston Bruins,BOS,28.8,24,68,54,14,6,4,2.83,2.25,0.5800000000000001,32,0.62,15.0,9.0,51.0,31.0,-1.0,88.75,0.667,17,9,66,80,25.76,13,0.915,9.0,5,3,632,754,0.6,0.02
Buffalo Sabres,BUF,27.4,25,56,83,6,15,4,2.24,3.32,-1.0799999999999996,16,0.3,8.0,18.0,25.0,57.0,-2.0,80.7,0.32,19,11,68,57,27.94,31,0.892,8.0,0,1,770,704,-1.05,0.03
Calgary Flames,CGY,28.0,27,72,67,12,12,3,2.67,2.48,0.18999999999999995,27,0.54,15.0,12.0,44.0,38.0,-3.0,80.22,0.5,20,18,98,91,20.41,20,0.902,9.0,1,4,820,802,-0.31,-0.01
Carolina Hurricanes,CAR,27.2,26,89,92,19,6,1,3.42,3.54,-0.1200000000000001,39,0.48,12.0,14.0,39.0,43.0,7.0,82.42,0.75,28,16,87,91,32.18,2,0.912,10.9,2,1,759,816,1.0,0.0
Chicago Blackhawks,CHI,27.2,28,85,80,14,9,5,3.04,2.86,0.18000000000000016,33,0.53,15.0,13.0,43.0,39.0,-1.0,73.86,0.589,26,23,84,88,30.95,9,0.911,10.2,2,2,962,831,-0.07,-0.03
Colorado Avalanche,COL,26.7,24,72,86,14,8,2,3.0,3.58,-0.5800000000000001,30,0.4,10.0,14.0,33.0,49.0,4.0,85.92,0.625,21,10,94,71,22.34,16,0.902,9.0,1,1,604,800,0.48,-0.07
Columbus Blue Jackets,CBJ,27.0,28,74,59,10,12,6,2.64,2.11,0.5300000000000002,26,0.62,17.0,11.0,51.0,31.0,-7.0,72.46,0.464,12,19,74,69,16.22,22,0.894,9.1,5,2,872,813,-0.7,-0.02
Dallas Stars,DAL,28.3,22,64,56,8,9,5,2.91,2.55,0.3600000000000003,21,0.57,13.0,9.0,47.0,35.0,-5.0,77.78,0.477,20,18,82,81,24.39,26,0.907,10.2,2,2,600,627,0.23,0.0
Detroit Red Wings,DET,29.4,28,63,95,8,16,4,2.25,3.39,-1.1400000000000001,20,0.29,8.0,20.0,24.0,58.0,0.0,70.73,0.357,9,24,82,82,10.98,28,0.891,8.0,0,2,870,785,-0.98,0.17
Edmonton Oilers,EDM,28.4,28,93,83,17,11,0,3.32,2.96,0.3599999999999999,34,0.56,16.0,12.0,46.0,36.0,1.0,76.74,0.607,25,20,94,86,26.6,7,0.906,10.7,2,2,885,873,0.32,-0.03
Florida Panthers,FLA,28.1,26,88,74,17,5,4,3.38,2.85,0.5299999999999998,38,0.59,15.0,11.0,48.0,34.0,2.0,77.63,0.731,21,17,80,76,26.25,5,0.908,10.0,0,2,808,883,0.36,-0.14
Los Angeles Kings,LAK,27.7,25,77,71,11,8,6,3.08,2.84,0.2400000000000002,28,0.54,14.0,12.0,44.0,38.0,-3.0,83.12,0.56,25,13,91,77,27.47,18,0.908,10.5,1,1,768,730,0.27,0.03
Minnesota Wild,MIN,28.8,24,75,63,15,8,1,3.12,2.62,0.5,31,0.59,14.0,10.0,48.0,34.0,1.0,84.34,0.646,6,13,76,83,7.89,14,0.91,10.2,2,0,698,732,0.55,0.05
Montreal Canadiens,MTL,28.8,26,85,68,12,7,7,3.27,2.62,0.6499999999999999,31,0.62,16.0,10.0,51.0,31.0,-4.0,77.89,0.596,16,21,73,95,21.92,15,0.909,9.8,7,1,746,865,0.41,-0.13
Nashville Predators,NSH,28.9,27,62,74,11,15,1,2.3,2.74,-0.4400000000000004,23,0.4,11.0,16.0,33.0,49.0,0.0,67.74,0.426,17,30,90,93,18.89,23,0.889,7.3,1,2,809,849,-0.86,0.11
