Team,Abbreviation,AvAge,GP,GF,GA,W,L,OL,GA/G,GF/G,Goal Diff,PTS,EWP,PW,PL,PW Season,PL Season,Ahead/Behind,PK%,PTS%,PP,PPA,PP Diff,PPO,PPOA,PPO Diff,PP%,Rank,SV%,S%,SH,SHA,SA,S,Shot Diff,SRS,SOS
Anaheim Ducks,ANA,28.5,30,66,101,8,16,6,2.2,3.37,-1.17,22,0.28,8.0,22.0,23.0,59.0,0.0,75.58,0.367,8,21,-13,70,86,-16,11.43,27,0.886,8.0,2,4,888,826,-62,-1.01,0.19
Arizona Coyotes,ARI,28.5,29,68,86,12,13,4,2.34,2.97,-0.6300000000000003,28,0.37,11.0,18.0,30.0,52.0,1.0,84.0,0.483,18,16,2,98,100,-2,18.37,22,0.906,9.2,2,2,911,742,-169,-0.5,0.12
Boston Bruins,BOS,28.8,27,71,63,15,8,4,2.63,2.33,0.2999999999999998,34,0.57,15.0,12.0,47.0,35.0,0.0,89.25,0.63,19,10,9,79,93,-14,24.05,13,0.913,8.4,5,3,726,848,122,0.41,0.11
Buffalo Sabres,BUF,27.4,28,58,95,6,18,4,2.07,3.39,-1.3200000000000003,16,0.25,7.0,21.0,20.0,62.0,-1.0,79.69,0.286,19,13,6,73,64,9,26.03,31,0.89,7.4,0,1,861,786,-75,-1.25,0.07
Calgary Flames,CGY,28.0,29,79,72,14,12,3,2.72,2.48,0.2400000000000002,31,0.55,16.0,13.0,45.0,37.0,-2.0,80.85,0.534,21,18,3,104,94,10,20.19,18,0.904,9.1,1,4,876,865,-11,-0.17,0.01
Carolina Hurricanes,CAR,27.1,28,93,96,20,7,1,3.32,3.43,-0.11000000000000032,41,0.48,13.0,15.0,39.0,43.0,7.0,81.82,0.732,29,18,11,91,99,-8,31.87,5,0.911,10.5,3,1,813,885,72,0.84,-0.06
Chicago Blackhawks,CHI,27.2,30,90,84,14,11,5,3.0,2.8,0.20000000000000018,33,0.54,16.0,14.0,44.0,38.0,-2.0,73.12,0.55,26,25,1,92,93,-1,28.26,14,0.907,10.1,2,3,1033,892,-141,-0.19,0.01
Colorado Avalanche,COL,26.8,27,86,96,17,8,2,3.19,3.56,-0.3700000000000001,36,0.44,12.0,15.0,36.0,46.0,5.0,87.65,0.667,23,10,13,100,81,19,23.0,11,0.905,9.3,1,2,672,923,251,0.72,-0.09
Columbus Blue Jackets,CBJ,27.0,30,79,64,11,12,7,2.63,2.13,0.5,29,0.61,18.0,12.0,50.0,32.0,-7.0,72.86,0.483,12,19,-7,75,70,5,16.0,20,0.898,9.1,5,2,937,869,-68,-0.65,-0.02
Dallas Stars,DAL,28.2,25,71,64,9,9,7,2.84,2.56,0.2799999999999998,25,0.56,14.0,11.0,46.0,36.0,-5.0,77.38,0.5,21,19,2,86,84,2,24.42,25,0.908,9.9,2,2,692,719,27,0.14,-0.02
Detroit Red Wings,DET,29.4,30,68,99,9,17,4,2.27,3.3,-1.0299999999999998,22,0.31,9.0,21.0,25.0,57.0,0.0,70.93,0.367,11,25,-14,90,86,4,12.22,28,0.895,8.1,0,3,939,839,-100,-0.84,0.19
Edmonton Oilers,EDM,28.4,31,103,91,18,13,0,3.32,2.94,0.3799999999999999,36,0.57,18.0,13.0,47.0,35.0,0.0,76.34,0.581,27,22,5,103,93,10,26.21,10,0.906,10.6,2,2,965,976,11,0.3,-0.09
Florida Panthers,FLA,28.2,28,98,79,19,5,4,3.5,2.82,0.6800000000000002,42,0.62,17.0,11.0,51.0,31.0,2.0,79.76,0.75,23,17,6,85,84,1,27.06,4,0.909,10.3,1,2,869,954,85,0.49,-0.15
Los Angeles Kings,LAK,27.6,27,78,77,11,10,6,2.89,2.85,0.040000000000000036,28,0.51,14.0,13.0,42.0,40.0,-3.0,83.75,0.519,25,13,12,99,80,19,25.25,21,0.91,10.1,1,1,855,776,-79,0.13,0.1
Minnesota Wild,MIN,28.8,27,86,64,18,8,1,3.19,2.37,0.8199999999999998,37,0.66,18.0,9.0,54.0,28.0,0.0,86.17,0.685,7,13,-6,86,94,-8,8.14,8,0.918,10.4,2,0,776,824,48,0.79,-0.02
Montreal Canadiens,MTL,28.9,28,90,73,13,8,7,3.21,2.61,0.6000000000000001,33,0.61,17.0,11.0,50.0,32.0,-4.0,76.24,0.589,17,24,-7,77,101,-24,22.08,16,0.911,9.8,7,1,818,921,103,0.39,-0.11
